export-plots data (NetLogo 6.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
universities.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/30/2017 18:42:27:750 -0300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MODEL SETTINGS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
willingness_to_share;cost_of_mutation;integration_boost;evaluate_for_learning?;market_mutation_period;std_dev_willingness;non_economical_entities?;number_of_gen_dif;color_update_rule;minimum_resources_to_live;std_dev_creation_performance;mutation_rate;creation_performance;motivation_to_learn;cost_of_development;knowledge;initial_fitness_probability;evaluate_for_fitness?;random_ent_creation?;development_performance;cost_of_crossover;startups?;set_input_seed?;std_dev_development_performance;super_share?;number_of_entities;my-seed-repeat;number_of_diffusers;niche_resources;number_of_generators;repeat_simulation?;expense_to_live_growth;trust_in_known_partners;number_of_cons_gen;initial_resources;std_dev_motivation;stop_trigger;number_of_integrators;number_of_consumers
0.5;0;0.1;true;0;0.1;false;0;"""fitness""";1001;0.25;0.1;0.5;0.5;0;200;0.2;true;false;0.4;0;true;false;0.05;true;200;-27647659;0;3000;0;false;0.1;0.05;100;1000;0.1;100;0;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fitness of entities histogram (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x min;x max;y min;y max;autoplot?;current pen;legend open?;number of pens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;100;0;10;false;"""default""";false;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pen name;pen down?;mode;interval;color;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;true;1;10;0;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x;y;color;pen down?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;7;0;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;169;0;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;24;0;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entities' resources histogram;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x min;x max;y min;y max;autoplot?;current pen;legend open?;number of pens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;50000;0;10;false;"""default""";false;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pen name;pen down?;mode;interval;color;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;true;1;1000;65;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x;y;color;pen down?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;4;65;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000;76;65;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;115;65;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3000;5;65;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(%) Average fitness of generators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
x min;x max;y min;y max;autoplot?;current pen;legend open?;number of pens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
